scenario,condition,controller_mode,requested_delay_ms,n,task_duration_s_mean,task_duration_s_std,task_duration_s_ci95_low,task_duration_s_ci95_high,task_completed_mean,task_completed_std,task_completed_ci95_low,task_completed_ci95_high,minimum_pairwise_distance_m_mean,minimum_pairwise_distance_m_std,minimum_pairwise_distance_m_ci95_low,minimum_pairwise_distance_m_ci95_high,collision_threshold_episodes_mean,collision_threshold_episodes_std,collision_threshold_episodes_ci95_low,collision_threshold_episodes_ci95_high,detection_rate_pct_mean,detection_rate_pct_std,detection_rate_pct_ci95_low,detection_rate_pct_ci95_high,path_length_m_mean,path_length_m_std,path_length_m_ci95_low,path_length_m_ci95_high,distance_rmse_m_mean,distance_rmse_m_std,distance_rmse_m_ci95_low,distance_rmse_m_ci95_high,heading_mae_deg_mean,heading_mae_deg_std,heading_mae_deg_ci95_low,heading_mae_deg_ci95_high,control_effort_abs_pct_s_mean,control_effort_abs_pct_s_std,control_effort_abs_pct_s_ci95_low,control_effort_abs_pct_s_ci95_high,state_transitions_mean,state_transitions_std,state_transitions_ci95_low,state_transitions_ci95_high,angular_sign_changes_mean,angular_sign_changes_std,angular_sign_changes_ci95_low,angular_sign_changes_ci95_high,targets_reached_mean,targets_reached_std,targets_reached_ci95_low,targets_reached_ci95_high,ack_rate_pct_mean,ack_rate_pct_std,ack_rate_pct_ci95_low,ack_rate_pct_ci95_high,rtt_mean_ms_mean,rtt_mean_ms_std,rtt_mean_ms_ci95_low,rtt_mean_ms_ci95_high,actual_delay_mean_ms_mean,actual_delay_mean_ms_std,actual_delay_mean_ms_ci95_low,actual_delay_mean_ms_ci95_high,actual_delay_p95_ms_mean,actual_delay_p95_ms_std,actual_delay_p95_ms_ci95_low,actual_delay_p95_ms_ci95_high,vision_processing_mean_ms_mean,vision_processing_mean_ms_std,vision_processing_mean_ms_ci95_low,vision_processing_mean_ms_ci95_high,frame_wait_mean_ms_mean,frame_wait_mean_ms_std,frame_wait_mean_ms_ci95_low,frame_wait_mean_ms_ci95_high,homography_valid_rate_pct_mean,homography_valid_rate_pct_std,homography_valid_rate_pct_ci95_low,homography_valid_rate_pct_ci95_high
cruce_2,baseline_final,apf_puro,0.0,10,18.018975949995365,4.311761082665366,15.031077959594613,21.006873940396115,0.4,0.5163977794943222,0.07993334027633148,0.7200666597236686,0.15259579034119913,0.021183156982524695,0.1394663336180543,0.16572524706434397,0.2,0.42163702135578396,-0.061333333333333295,0.4613333333333333,98.97188857041752,0.9933920818665238,98.35617777911568,99.58759936171936,1.7263943836280842,0.5225173241484715,1.4025347908317727,2.0502539764243957,0.5151193845964036,0.09696889182569655,0.45501744276747347,0.5752213264253337,41.74165254044342,8.962132647612018,36.18686517607762,47.29643990480922,2158.93049463036,694.1951871842942,1728.6638599134171,2589.197129347303,0.0,0.0,0.0,0.0,9.4,3.5023801430836525,7.229202297157411,11.57079770284259,1.2,0.7888106377466155,0.7110901014615383,1.6889098985384616,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.33384556255979,6.762309189758723,74.14252290330242,82.52516822181715,18.893616419020965,2.1838215170893416,17.540069819552784,20.247163018489147,100.0,0.0,100.0,100.0
cruce_2,proposed_final,apf_fsm,0.0,10,26.21449513333371,3.0662500577001572,24.21121176230294,28.217778504364478,0.9,0.31622776601683794,0.7040000000000001,1.096,0.15572846185098285,0.020165090121545343,0.14323000950568046,0.16822691419628524,0.1,0.31622776601683794,-0.09599999999999997,0.296,99.13518431007218,0.5976987693588295,98.76472677476488,99.50564184537947,1.8695778798911598,0.3900576508562145,1.6278176431770084,2.111338116605311,0.5224949821456821,0.06715339723688925,0.4808728753199031,0.5641170889714612,31.77200587648244,10.356148648688633,25.35319844312476,38.19081330984012,2641.1332840898567,590.9900001887513,2274.833886993817,3007.4326811858964,6.2,1.4757295747452437,5.285333333333334,7.1146666666666665,30.8,7.6274358586472415,26.07246627604719,35.52753372395281,1.8,0.6324555320336759,1.4080000000000001,2.192,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.77640907052901,8.421867736376019,73.55648136740061,83.99633677365742,18.07173421147203,1.1413215065233309,17.364335812854936,18.779132610089125,100.0,0.0,100.0,100.0
cruce_2_perpendicular,baseline_final,apf_puro,0.0,10,17.93971578000346,1.5147644922737464,17.00085502079408,18.87857653921284,0.9,0.31622776601683794,0.7040000000000001,1.096,0.19470566059884756,0.026257254279989758,0.17843124578796102,0.2109800754097341,0.0,0.0,0.0,0.0,99.40833202203304,0.8847982745346087,98.85992836983904,99.95673567422703,1.8946167373699374,0.2420596473753738,1.7445866135665549,2.04464686117332,0.5212722205038421,0.033472422754767236,0.5005257979408562,0.5420186430668281,37.61104390338685,5.738833447465771,34.054078081342624,41.16800972543108,2057.3319349403146,325.23337166958584,1855.7502027282083,2258.9136671524207,0.0,0.0,0.0,0.0,16.4,7.105553383719588,11.995932385219824,20.804067614780173,1.9,0.31622776601683794,1.704,2.096,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.09327592036767,4.399871696849508,83.36620718935502,88.82034465138032,18.851738333041165,3.4699327772665374,16.70105171588931,21.00242495019302,100.0,0.0,100.0,100.0
cruce_2_perpendicular,proposed_final,apf_fsm,0.0,10,30.50219616999675,6.582194510867174,26.422509745303504,34.58188259469,1.0,0.0,1.0,1.0,0.19765607033170293,0.01949725844499908,0.18557154434793355,0.20974059631547232,0.0,0.0,0.0,0.0,99.42963017022774,0.5318721758512468,99.09997238027486,99.75928796018061,2.237879541962963,0.2809417299777996,2.063750053685464,2.412009030240462,0.5111614455643744,0.02713385868879074,0.49434370571189157,0.5279791854168572,39.15707017519048,5.500349461120981,35.74791825928216,42.56622209109881,3340.136524520439,641.8164206069654,2942.3345856727697,3737.938463368108,15.2,5.3499740393970345,11.88405173609586,18.51594826390414,38.3,13.174470261329928,30.13437873357656,46.46562126642343,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.55793755779364,9.663106521682817,80.56868208505003,92.54719303053724,18.194628566620796,1.097936025184312,17.51412076793285,18.87513636530874,100.0,0.0,100.0,100.0
latencia,delay_000,apf_fsm,0.0,8,28.81020902500677,6.509243263395453,24.29953357410579,33.320884475907754,1.0,0.0,1.0,1.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,98.44536390322907,1.8000461709597428,97.19799554637324,99.6927322600849,1.0192661368069298,0.0781584991586721,0.9651050601397189,1.0734272134741407,0.5663281253894492,0.05442815917980029,0.5286113353547823,0.6040449154241161,28.072996159010216,5.3320090373557845,24.37810240630123,31.7678899117192,1699.156905613112,357.45794980161094,1451.4511841252277,1946.8626271009964,2.375,2.445841952609133,0.6801179982075449,4.069882001792455,9.5,6.047431568147635,5.309343726813187,13.690656273186814,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.47471315554077,3.9068060255300865,83.76743470277664,89.1819916083049,18.91061198395768,2.2107792049503834,17.37862015578159,20.44260381213377,100.0,0.0,100.0,100.0
latencia,delay_050,apf_fsm,50.0,8,23.126028875001793,3.875834909498999,20.440212310680828,25.81184543932276,1.0,0.0,1.0,1.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,97.71500044341349,2.4021375119738244,96.0504040738354,99.37959681299158,0.9767763504904091,0.028824947363890168,0.9568016810570241,0.9967510199237941,0.6486493504174096,0.05454355616144233,0.6108525943542601,0.686446106480559,26.503591490273884,3.5629421662840985,24.03459853485401,28.97258444569376,1461.3973745125768,231.86172891625662,1300.725393714541,1622.0693553106125,1.0,0.0,1.0,1.0,9.25,2.5495097567963922,7.483279875022646,11.016720124977354,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,57.864045618084255,0.4217727689114759,57.57177200076747,58.15631923540104,64.94613312497677,0.18888261415064145,64.81524415120889,65.07702209874465,86.71636585802045,0.8304926228377345,86.14086383199317,87.29186788404773,18.54059751492525,1.7426599237332054,17.332995798538942,19.748199231311556,100.0,0.0,100.0,100.0
latencia,delay_100,apf_fsm,100.0,8,21.187421137503406,2.425553480737249,19.506598329430663,22.86824394557615,1.0,0.0,1.0,1.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,97.99427935360598,2.556277020369879,96.22286975422499,99.76568895298696,0.9634311462797024,0.0371774183854865,0.9376685097252632,0.9891937828341416,0.6358582099734212,0.011516677674806288,0.6278775595104379,0.6438388604364046,25.80501069332047,5.219994366489457,22.187739147306203,29.422282239334734,1358.4730721623964,126.12343130529895,1271.0739932907536,1445.8721510340392,1.0,0.0,1.0,1.0,8.75,3.494894235064305,6.328161855119133,11.171838144880866,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,107.61061844432855,0.5218193128911192,107.24901610912312,107.97222077953398,115.0309200036645,0.30498532410558843,114.81957595664382,115.2422640506852,87.3557024272722,1.3327987456750299,86.43212001686894,88.27928483767548,17.849896483620526,0.7780309174583208,17.310748564667108,18.389044402573944,100.0,0.0,100.0,100.0
latencia,delay_150,apf_fsm,150.0,8,23.474649637493712,3.6282279576295275,20.960415936813867,25.988883338173558,1.0,0.0,1.0,1.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,98.46413351396436,1.8852545777621939,97.1577187436897,99.77054828423901,0.9819115808592367,0.04256482302241664,0.9524156633600638,1.0114074983584096,0.648817811113795,0.03699096220001455,0.6231843821038344,0.6744512401237556,29.24922985644702,5.282644811743414,25.588543766842992,32.90991594605104,1493.0466908998678,211.65672117293644,1346.376066131276,1639.7173156684596,1.0,0.0,1.0,1.0,9.625,2.9730936268953445,7.5647512286133995,11.6852487713866,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,155.51506979586682,0.3583057259997288,155.2667765954463,155.76336299628736,163.75532562724402,0.7691049937237635,163.22236305786765,164.28828819662039,86.9277497174536,2.25561740201179,85.36468660394317,88.49081283096402,18.56075142294647,1.2974190098089178,17.661685918667775,19.459816927225166,100.0,0.0,100.0,100.0
latencia,delay_200,apf_fsm,200.0,8,22.563293349991,3.157445363577068,20.375295342735857,24.751291357246142,1.0,0.0,1.0,1.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,97.36718293520141,2.8073963505329824,95.42175651819998,99.31260935220284,0.9726181462674154,0.025189542941800258,0.9551626835708614,0.9900736089639693,0.6389568560686241,0.015008158584850356,0.6285567327743227,0.6493569793629255,26.13759412265396,2.1067641714473804,24.677681035302488,27.597507210005435,1428.6375569879674,132.25092526061047,1336.9923414393938,1520.282772536541,1.25,0.7071067811865476,0.76,1.74,9.375,2.5035688811888406,7.6401152776048775,11.109884722395122,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,207.86824039746085,0.4258152144878107,207.57316550827804,208.16331528664367,214.8280418736249,0.3102475827378078,214.61305126741627,215.04303247983353,87.04442310703938,2.386496801871823,85.39066519659347,88.69818101748528,18.892019838938985,2.506661919263995,17.1549917505104,20.62904792736757,100.0,0.0,100.0,100.0
