wall_time_iso,t_wall,t_perf,session_elapsed_s,cycle_id,robot_id,state,previous_state,x,y,yaw,pose_age_ms,waypoint_x,waypoint_y,final_goal_x,final_goal_y,distance_error,desired_heading,angle_error,u_att_x,u_att_y,u_rep_x,u_rep_y,u_res_x,u_res_y,repulsion_norm,align_factor,linear_cmd,angular_cmd,left_cmd,right_cmd,controller_mode,avoid_enabled,requested_delay_ms,jitter_ms
2026-08-18T02:50:22.552+00:00,1787021422.552459,181234.9283932,0.41423620001296513,1,2,APF,ORIENT,0.5981746682629092,0.20322250260847335,-1.8653067573850868,577.1148204803467,0.6,1.0,0.6,1.0,0.7967795882083418,1.5685054382004755,-2.8493731115940237,0.0022908865939825773,0.9999973773956299,0.0,0.0,0.0022908865939825773,0.9999973773956299,0.0,0.0,0,-35.0,35,-35,apf_puro,1,0.0,0.0
2026-08-18T02:50:22.766+00:00,1787021422.7661788,181235.1418546,0.627697599993553,2,2,APF,APF,0.5981746682629092,0.20322250260847335,-1.8653067573850868,191.61391258239746,0.6,1.0,0.6,1.0,0.7967795882083418,1.5685054382004755,-2.8493731115940237,0.0022908865939825773,0.9999973773956299,0.0,0.0,0.0022908865939825773,0.9999973773956299,0.0,0.0,0,-35.0,35,-35,apf_puro,1,0.0,0.0
2026-08-18T02:50:22.767+00:00,1787021422.767192,181235.1432618,0.6291047999984585,2,3,APF,ORIENT,0.19393789786780458,0.6130374772098828,2.5800874490870087,192.626953125,1.0,0.6,1.0,0.6,0.8061675311656827,-0.016172873712969264,-2.596260322799978,0.9998692274093628,-0.016172168776392937,0.0,0.0,0.9998692274093628,-0.016172168776392937,0.0,0.0,0,-35.0,35,-35,apf_puro,1,0.0,0.0
2026-08-18T02:50:22.952+00:00,1787021422.9527266,181235.3288657,0.8147086999961175,3,2,APF,APF,0.5981746682629092,0.20322250260847335,-1.8653067573850868,157.90891647338867,0.6,1.0,0.6,1.0,0.7967795882083418,1.5685054382004755,-2.8493731115940237,0.0022908865939825773,0.9999973773956299,0.0,0.0,0.0022908865939825773,0.9999973773956299,0.0,0.0,0,-35.0,35,-35,apf_puro,1,0.0,0.0
2026-08-18T02:50:22.953+00:00,1787021422.9537141,181235.329791,0.8156339999986812,3,3,APF,APF,0.19393789786780458,0.6130374772098828,2.5800874490870087,158.89644622802734,1.0,0.6,1.0,0.6,0.8061675311656827,-0.016172873712969264,-2.596260322799978,0.9998692274093628,-0.016172168776392937,0.0,0.0,0.9998692274093628,-0.016172168776392937,0.0,0.0,0,-35.0,35,-35,apf_puro,1,0.0,0.0
2026-08-18T02:50:23.128+00:00,1787021423.1285396,181235.5043861,0.9902290999889374,4,2,APF,APF,0.5981746682629092,0.20322250260847335,-1.8749160959784488,141.495943069458,0.6,1.0,0.6,1.0,0.7967795882083418,1.5685054382004755,-2.839763773000662,0.0022908865939825773,0.9999973773956299,0.0,0.0,0.0022908865939825773,0.9999973773956299,0.0,0.0,0,-35.0,35,-35,apf_puro,1,0.0,0.0
2026-08-18T02:50:23.130+00:00,1787021423.1300223,181235.5062278,0.9920708000136074,4,3,APF,APF,0.19393789786780458,0.6130374772098828,2.5800874490870087,142.97866821289062,1.0,0.6,1.0,0.6,0.8061675311656827,-0.016172873712969264,-2.596260322799978,0.9998692274093628,-0.016172168776392937,0.0,0.0,0.9998692274093628,-0.016172168776392937,0.0,0.0,0,-35.0,35,-35,apf_puro,1,0.0,0.0
2026-08-18T02:50:23.298+00:00,1787021423.2987134,181235.674668,1.1605109999945853,5,2,APF,APF,0.5981746682629092,0.20322250260847335,-1.905064806278859,132.85517692565918,0.6,1.0,0.6,1.0,0.7967795882083418,1.5685054382004755,-2.8096150627002516,0.0022908865939825773,0.9999973773956299,0.0,0.0,0.0022908865939825773,0.9999973773956299,0.0,0.0,0,-35.0,35,-35,apf_puro,1,0.0,0.0
2026-08-18T02:50:23.300+00:00,1787021423.3007133,181235.6761119,1.1619548999879044,5,3,APF,APF,0.19393789786780458,0.6130374772098828,2.5800874490870087,133.85725021362305,1.0,0.6,1.0,0.6,0.8061675311656827,-0.016172873712969264,-2.596260322799978,0.9998692274093628,-0.016172168776392937,0.0,0.0,0.9998692274093628,-0.016172168776392937,0.0,0.0,0,-35.0,35,-35,apf_puro,1,0.0,0.0
2026-08-18T02:50:23.497+00:00,1787021423.4973543,181235.8729958,1.358838799991645,6,2,APF,APF,0.5964761377587623,0.204211186962224,-2.462075854426311,161.7128849029541,0.6,1.0,0.6,1.0,0.7957966150727003,1.5663682184004737,-2.2547412343528013,0.004428093787282705,0.9999901652336121,0.0,0.0,0.004428093787282705,0.9999901652336121,0.0,0.0,0,-7.817070878418129,18.0,-18.0,apf_puro,1,0.0,0.0
2026-08-18T02:50:23.499+00:00,1787021423.4997325,181235.8759409,1.36178390000714,6,3,APF,APF,0.19393789786780458,0.6130374772098828,2.563171119079514,165.09056091308594,1.0,0.6,1.0,0.6,0.8061675311656827,-0.016172873712969264,-2.579343992792483,0.9998692274093628,-0.016172168776392937,0.0,0.0,0.9998692274093628,-0.016172168776392937,0.0,0.0,0,-35.0,35,-35,apf_puro,1,0.0,0.0
2026-08-18T02:50:23.684+00:00,1787021423.6845365,181236.0603817,1.5462246999959461,7,2,APF,APF,0.5933328431163107,0.2070905554079895,-2.912795542388316,155.70855140686035,0.6,1.0,0.6,1.0,0.7929374743976491,1.562388052900729,-1.8080017118905412,0.008408174850046635,0.9999646544456482,0.0,0.0,0.008408174850046635,0.9999646544456482,0.0,0.0,0,-6.110334581815762,18.0,-18.0,apf_puro,1,0.0,0.0
2026-08-18T02:50:23.686+00:00,1787021423.686534,181236.0626244,1.548467399989022,7,3,APF,APF,0.19393789786780458,0.6130374772098828,2.431304577038239,157.70602226257324,1.0,0.6,1.0,0.6,0.8061675311656827,-0.016172873712969264,-2.447477450751208,0.9998692274093628,-0.016172168776392937,0.0,0.0,0.9998692274093628,-0.016172168776392937,0.0,0.0,0,-35.0,35,-35,apf_puro,1,0.0,0.0
2026-08-18T02:50:23.881+00:00,1787021423.8811045,181236.2570881,1.7429311000159942,8,2,APF,APF,0.5933328431163107,0.2070905554079895,-3.124038942381694,154.92939949035645,0.6,1.0,0.6,1.0,0.7929374743976491,1.562388052900729,-1.5967583118971636,0.008408174850046635,0.9999646544456482,0.0,0.0,0.008408174850046635,0.9999646544456482,0.0,0.0,0,-21.43516029800855,21,-21,apf_puro,1,0.0,0.0
2026-08-18T02:50:23.882+00:00,1787021423.8821049,181236.2582221,1.744065100006992,8,3,APF,APF,0.19216100178656736,0.6192014153779295,2.313862874974342,155.9298038482666,1.0,0.6,1.0,0.6,0.8080671639084206,-0.023764388044527802,-2.33762726301887,0.999717652797699,-0.02376215159893036,0.0,0.0,0.999717652797699,-0.02376215159893036,0.0,0.0,0,-35.0,35,-35,apf_puro,1,0.0,0.0
2026-08-18T02:50:24.058+00:00,1787021424.058641,181236.4349191,1.920762099995045,9,2,APF,APF,0.5910894768975014,0.21121196683771937,2.9115276139676114,150.53486824035645,0.6,1.0,0.6,1.0,0.7888383603007522,1.5595003342189029,-1.3520272797487085,0.011295752599835396,0.9999362230300903,0.0,0.0,0.011295752599835396,0.9999362230300903,0.0,0.21702817420070078,15.191972194049054,-9.160796874056208,24,18.0,apf_puro,1,0.0,0.0
2026-08-18T02:50:24.062+00:00,1787021424.0621836,181236.4377812,1.9236241999897175,9,3,APF,APF,0.1908228743661372,0.6231758479035282,2.174299517609269,153.6996364593506,1.0,0.6,1.0,0.6,0.8095089502748735,-0.02863342757650013,-2.2029329451857693,0.9995900988578796,-0.028629515320062637,0.0,0.0,0.9995900988578796,-0.028629515320062637,0.0,0.0,0,-35.0,35,-35,apf_puro,1,0.0,0.0
