wall_time_iso,t_wall,t_perf,session_elapsed_s,frame_seq,frame_received_perf,frame_wait_ms,processing_ms,robot_id,detected,accepted,workspace_markers_seen,homography_valid,homography_age_ms,calibration_enabled,homography_mode,parallax_enabled,alignment_enabled,pose_filter_enabled,pixel_x,pixel_y,floor_x,floor_y,corrected_x,corrected_y,aligned_x,aligned_y,raw_yaw,x,y,yaw,pose_age_ms,cam_x,cam_y,cam_z
2026-08-18T06:00:51.347+00:00,1787032851.347699,192663.3834212,0.27640910001355223,907,192663.2649775,23.40480001294054,93.91600001254119,1,0,0,4,1,0.0,1,estabilizada,1,1,1,,,,,,,,,,,,,nan,0.5410931149327184,-0.24946328074863303,1.5827522773078655
2026-08-18T06:00:51.347+00:00,1787032851.347699,192663.3835875,0.27657539999927394,907,192663.2649775,23.40480001294054,93.91600001254119,2,1,1,4,1,0.0,1,estabilizada,1,1,1,457.0,526.5,0.18870125710964203,0.43843507766723633,0.20873930580417432,0.3993191318903434,0.19587805580417433,0.38787463189034344,2.8222542433959386,0.2024119919373355,0.38505773273808996,2.7938462140755527,0.0,0.5410931149327184,-0.24946328074863303,1.5827522773078655
2026-08-18T06:00:51.347+00:00,1787032851.347699,192663.3836186,0.27660650000325404,907,192663.2649775,23.40480001294054,93.91600001254119,3,1,1,4,1,0.0,1,estabilizada,1,1,1,473.0,384.25,0.19717592000961304,0.6822842359542847,0.21673207417653506,0.6293023020752211,0.20387082417653507,0.6178578020752211,-1.9791074865439295,0.20401231202671932,0.6182742828493927,-1.9806743330603427,0.0,0.5410931149327184,-0.24946328074863303,1.5827522773078655
2026-08-18T06:00:51.347+00:00,1787032851.347699,192663.3836457,0.27663360000588,907,192663.2649775,23.40480001294054,93.91600001254119,10,0,0,4,1,0.0,1,estabilizada,1,1,1,,,,,,,,,,,,,nan,0.5410931149327184,-0.24946328074863303,1.5827522773078655
2026-08-18T06:00:51.501+00:00,1787032851.5011458,192663.5368007,0.4297886000131257,912,192663.4163298,29.762899997876957,90.6816000060644,1,0,0,4,1,0.0,1,estabilizada,1,1,1,,,,,,,,,,,,,nan,0.5410953712747979,-0.24945508463159352,1.5827574042618764
2026-08-18T06:00:51.501+00:00,1787032851.5011458,192663.5368456,0.4298335000057705,912,192663.4163298,29.762899997876957,90.6816000060644,2,1,1,4,1,0.0,1,estabilizada,1,1,1,457.0,526.5,0.18870039284229279,0.43843501806259155,0.208738554075041,0.39931966843555966,0.195877304075041,0.3878751684355597,2.8222547541490837,0.2024119919373355,0.38505773273808996,2.7938462140755527,0.0,0.5410953712747979,-0.24945508463159352,1.5827574042618764
2026-08-18T06:00:51.501+00:00,1787032851.5011458,192663.5368575,0.42984540000907145,912,192663.4163298,29.762899997876957,90.6816000060644,3,1,1,4,1,0.0,1,estabilizada,1,1,1,473.0,384.25,0.19717487692832947,0.6822836399078369,0.21673115536230536,0.6293023775976754,0.20386990536230537,0.6178578775976754,-1.9791076150838165,0.20401231202671932,0.6182742828493927,-1.9806743330603427,0.0,0.5410953712747979,-0.24945508463159352,1.5827574042618764
2026-08-18T06:00:51.501+00:00,1787032851.5011458,192663.5368711,0.42985899999621324,912,192663.4163298,29.762899997876957,90.6816000060644,10,0,0,4,1,0.0,1,estabilizada,1,1,1,,,,,,,,,,,,,nan,0.5410953712747979,-0.24945508463159352,1.5827574042618764
2026-08-18T06:00:51.648+00:00,1787032851.6488965,192663.6854537,0.5784415999951307,917,192663.5804824,18.90700001968071,86.04189998004586,1,0,0,4,1,0.0,1,estabilizada,1,1,1,,,,,,,,,,,,,nan,0.5410959611147573,-0.24944736541082418,1.5827618414519422
2026-08-18T06:00:51.648+00:00,1787032851.6488965,192663.6854982,0.5784861000138335,917,192663.5804824,18.90700001968071,86.04189998004586,2,1,1,4,1,0.0,1,estabilizada,1,1,1,456.75,527.0,0.18838456273078918,0.43763670325279236,0.2084406602580311,0.39856729649795236,0.1955794102580311,0.3871227964979524,2.8222555223319152,0.2024119919373355,0.38505773273808996,2.7938462140755527,0.0,0.5410959611147573,-0.24944736541082418,1.5827618414519422
2026-08-18T06:00:51.648+00:00,1787032851.6488965,192663.6855106,0.5784984999918379,917,192663.5804824,18.90700001968071,86.04189998004586,3,1,1,4,1,0.0,1,estabilizada,1,1,1,473.0,384.25,0.1971738636493683,0.6822829842567444,0.21673017841589715,0.6293023466940164,0.20386892841589715,0.6178578466940164,-1.9791077436243707,0.20401231202671932,0.6182742828493927,-1.9806743330603427,0.0,0.5410959611147573,-0.24944736541082418,1.5827618414519422
2026-08-18T06:00:51.648+00:00,1787032851.6488965,192663.6855205,0.5785084000090137,917,192663.5804824,18.90700001968071,86.04189998004586,10,0,0,4,1,0.0,1,estabilizada,1,1,1,,,,,,,,,,,,,nan,0.5410959611147573,-0.24944736541082418,1.5827618414519422
