plot_label,point,physical_x_m,physical_y_m,off_raw_error_m,on_raw_error_m,raw_on_minus_off_m,off_parallax_error_m,on_parallax_error_m,parallax_on_minus_off_m,off_detection_rate_pct,on_detection_rate_pct,detection_on_minus_off_pct
P1,VIS02_P1_CENTER,0.585,0.607,0.06525873765293573,0.07110082428942284,0.005842086636487109,0.018894284567119668,0.02054958291211752,0.0016552983449978527,100.0,92.22222222222223,-7.7777777777777715
P2,VIS02_P2_LOWER_LEFT,0.292,0.312,0.047528533601635475,0.05005370611730343,0.002525172515667952,0.0229203329690351,0.023393244633348523,0.0004729116643134232,100.0,100.0,0.0
P3,VIS02_P3_LOWER_RIGHT,0.904,0.291,0.056606826195049656,0.05946645069957131,0.0028596245045216517,0.018996262212775956,0.01903096271476944,3.4700501993483596e-05,100.0,100.0,0.0
P4,VIS02_P4_UPPER_RIGHT,0.9,0.928,0.07973985006477262,0.08400274836306856,0.004262898298295945,0.013646237098727981,0.0126620051677245,-0.0009842319310034812,37.77777777777778,72.22222222222223,34.44444444444445
P5,VIS02_P5_UPPER_LEFT,0.287,0.903,0.07367723838201908,0.07778867040308976,0.004111432021070685,0.017959644761602698,0.018205373440527292,0.00024572867892459424,95.55555555555556,100.0,4.444444444444443
