wall_time_iso,t_wall,t_perf,session_elapsed_s,cycle_id,robot_id,state,previous_state,x,y,yaw,pose_age_ms,waypoint_x,waypoint_y,final_goal_x,final_goal_y,distance_error,desired_heading,angle_error,u_att_x,u_att_y,u_rep_x,u_rep_y,u_res_x,u_res_y,repulsion_norm,align_factor,linear_cmd,angular_cmd,left_cmd,right_cmd,controller_mode,avoid_enabled,requested_delay_ms,jitter_ms
2026-08-18T02:52:46.429+00:00,1787021566.4296465,181378.8035338,0.33212030000868253,1,2,ORIENT,ORIENT,0.5932973370074117,0.19351627889261164,-0.42334600540263345,455.12914657592773,0.6,1.0,0.6,1.0,0.806511573446043,1.5624855473158206,1.985831552718454,0.008310684002935886,0.999965488910675,0.0,0.0,0.008310684002935886,0.999965488910675,0.0,0.0,0,35.0,-35,35,apf_fsm,1,0.0,0.0
2026-08-18T02:52:46.608+00:00,1787021566.6089451,181378.9827922,0.5113787000009324,2,2,ORIENT,ORIENT,0.5932973370074117,0.19351627889261164,-0.42334600540263345,137.99095153808594,0.6,1.0,0.6,1.0,0.806511573446043,1.5624855473158206,1.985831552718454,0.008310684002935886,0.999965488910675,0.0,0.0,0.008310684002935886,0.999965488910675,0.0,0.0,0,35.0,-35,35,apf_fsm,1,0.0,0.0
2026-08-18T02:52:46.609+00:00,1787021566.6099484,181378.9837354,0.5123218999942765,2,3,ORIENT,ORIENT,0.18847154051250825,0.6048857122720913,-3.117267329129585,138.9942169189453,1.0,0.6,1.0,0.6,0.8115431662841769,-0.006020310473601909,3.111247018655983,0.9999819397926331,-0.006020274478942156,0.0,0.0,0.9999819397926331,-0.006020274478942156,0.0,0.0,0,35.0,-35,35,apf_fsm,1,0.0,0.0
2026-08-18T02:52:46.818+00:00,1787021566.8186343,181379.1923123,0.7208988000056706,3,2,ORIENT,ORIENT,0.5932973370074117,0.19351627889261164,-0.42334600540263345,182.49917030334473,0.6,1.0,0.6,1.0,0.806511573446043,1.5624855473158206,1.985831552718454,0.008310684002935886,0.999965488910675,0.0,0.0,0.008310684002935886,0.999965488910675,0.0,0.0,0,35.0,-35,35,apf_fsm,1,0.0,0.0
2026-08-18T02:52:46.820+00:00,1787021566.8206341,181379.195102,0.7236885000020266,3,3,ORIENT,ORIENT,0.18847154051250825,0.6048857122720913,-3.117267329129585,185.49680709838867,1.0,0.6,1.0,0.6,0.8115431662841769,-0.006020310473601909,3.111247018655983,0.9999819397926331,-0.006020274478942156,0.0,0.0,0.9999819397926331,-0.006020274478942156,0.0,0.0,0,35.0,-35,35,apf_fsm,1,0.0,0.0
2026-08-18T02:52:46.978+00:00,1787021566.9785206,181379.3523006,0.880887100007385,4,2,ORIENT,ORIENT,0.5932973370074117,0.19351627889261164,-0.42334600540263345,130.66911697387695,0.6,1.0,0.6,1.0,0.806511573446043,1.5624855473158206,1.985831552718454,0.008310684002935886,0.999965488910675,0.0,0.0,0.008310684002935886,0.999965488910675,0.0,0.0,0,35.0,-35,35,apf_fsm,1,0.0,0.0
2026-08-18T02:52:46.979+00:00,1787021566.9795625,181379.3539888,0.8825752999982797,4,3,ORIENT,ORIENT,0.18847154051250825,0.6048857122720913,-3.117267329129585,131.71100616455078,1.0,0.6,1.0,0.6,0.8115431662841769,-0.006020310473601909,3.111247018655983,0.9999819397926331,-0.006020274478942156,0.0,0.0,0.9999819397926331,-0.006020274478942156,0.0,0.0,0,35.0,-35,35,apf_fsm,1,0.0,0.0
2026-08-18T02:52:47.124+00:00,1787021567.1247215,181379.4991704,1.0277569000027142,5,2,ORIENT,ORIENT,0.5932973370074117,0.19351627889261164,-0.35474179730071725,117.26903915405273,0.6,1.0,0.6,1.0,0.806511573446043,1.5624855473158206,1.9172273446165378,0.008310684002935886,0.999965488910675,0.0,0.0,0.008310684002935886,0.999965488910675,0.0,0.0,0,35.0,-35,35,apf_fsm,1,0.0,0.0
2026-08-18T02:52:47.126+00:00,1787021567.1267288,181379.5007768,1.0293633000110276,5,3,ORIENT,ORIENT,0.18847154051250825,0.6048857122720913,-2.9488024609225048,119.27628517150879,1.0,0.6,1.0,0.6,0.8115431662841769,-0.006020310473601909,2.942782150448903,0.9999819397926331,-0.006020274478942156,0.0,0.0,0.9999819397926331,-0.006020274478942156,0.0,0.0,0,35.0,-35,35,apf_fsm,1,0.0,0.0
2026-08-18T02:52:47.294+00:00,1787021567.2945805,181379.6685944,1.1971808999951463,6,2,ORIENT,ORIENT,0.5932973370074117,0.19351627889261164,-0.2082445129444913,140.46478271484375,0.6,1.0,0.6,1.0,0.806511573446043,1.5624855473158206,1.7707300602603118,0.008310684002935886,0.999965488910675,0.0,0.0,0.008310684002935886,0.999965488910675,0.0,0.0,0,27.675770430297465,-27,27,apf_fsm,1,0.0,0.0
