point,plot_label,physical_x_m,physical_y_m,command_x_m,command_y_m,homography_error_m,parallax_error_m,aligned_error_m,positioning_error_m
V_03_06_ALIGNED,P1,0.309,0.598,0.3,0.6,0.06330038301621883,0.021156281927597772,0.0039528918528085495,0.009219544457292896
V_06_09,P2,0.61,0.89,0.6,0.9,0.08342397392236842,0.021165359080346353,0.004999466071491986,0.014142135623730963
V_09_06_FILTER_DIAG,P3,0.872,0.57,0.9,0.6,0.05713899771609587,0.012166482564817185,0.009643132530459097,0.04103656905736642
V_06_03,P4,0.604,0.296,0.6,0.3,0.052885826191901374,0.02208557982032625,0.006049107785450698,0.005656854249492385
V_06_06,P5,0.602,0.605,0.6,0.6,0.06484859579821292,0.020062529501535958,0.0030585552144763474,0.005385164807134509
